的	dkuaoo	dk
厚	wciaee	wci
纵	ccuouo	ccu
障	gxoeou	gxoe
讯	hfaeii	hfa
涉	foieie	foie
彻	zteaau	zte
刊	cmeeii	cme
丈	geuooo	geu
爆	nyiaee	ny
乌	suaaee	sua
役	ktuaao	ktu
描	tgeiii	tge
洗	houeie	hou
玛	traaee	tr
患	wwiaei	wwi
妙	tmiuou	tmiu
镜	jaoeou	jao
唱	ziiaee	zii
烦	myeuia	my
签	quuoeo	quu
仙	hjiaii	hjia
彼	ntauia	nta
弗	mhuiii	mhu
症	gbeiei	gbe
仿	mjoeau	mjo
倾	qjeaeu	qje
牌	ycuiae	ycu
陷	hxuaui	hxua
鸟	xneeee	xn
轰	wkaoao	wka
咱	ciuiae	ciu
菜	pvuoou	pvu
闭	nteiuu	nte
奋	miiaei	mii
庆	qbeuoo	qb
撤	zgoeao	zgo
泪	loiaee	loi
茶	zvuoei	zvu
疾	jbueeu	jbu
缘	kcaaeu	kca
播	nguoue	nguo
朗	lsoaee	lsoa
杜	ddeiee	dde
奶	xmauuu	xma
季	jhaiee	jhai
丹	dhoeee	dhoe
狗	rkuaia	rku
尾	squeea	squ
仪	kjouoo	kjou
偷	vjuoei	vju
奔	nieieu	nie
珠	grueei	gru
虫	zeoooo	ze
驻	gpoeei	gpo
孔	chaaaa	cha
宜	kpiaee	kpi
艾	pvuooo	pvuo
桥	qdueuo	qdue
淡	doouuo	doo
翼	kziaei	kzi
恨	wwaeea	wwa
繁	mcueaa	mcue
寒	wpeeii	wpe
伴	njouee	njo
叹	viaooo	via
旦	dkeeee	dke
愈	kwuoei	kwu
潮	zoeiia	zoe
粮	lmoaee	lmoa
缩	bcooau	bco
罢	neeiea	nee
聚	jxaoui	jxa
径	jtaoei	jta
恰	qwuoei	qwu
挑	vguoea	vguo
袋	dpuiea	dpu
灰	wyeuou	wye
捕	ngeiae	ngei
徐	htuoee	htu
珍	gruouu	gruo
幕	tzeiii	tz
映	kkiaeu	kki
裂	lpeuao	lpe
泰	voeeeu	vo
隔	rxeiae	rxe
启	qbiaee	qbi
尖	jseuoo	jseu
忠	gwiaei	gwi
累	lbaaoi	lbaa
炎	kyouuo	kyo
暂	ckeaie	ckea
估	rjeiia	rjei
泛	mouoao	mou
荒	wvoeau	wvo
偿	zjiouo	zji
横	wdeiie	wde
拒	jgeaea	jgea
瑞	sriaie	sri
忆	kwaaaa	kwaa
孤	rhuuao	rhu
鼻	nxiiii	nxi
闹	xtoeia	xt
羊	ksiiii	ksi
呆	dieiuo	dieiu
厉	lceauu	lcea
衡	wtuaia	wtu
胞	nsuaae	nsu
零	lquooa	lqu
穷	qsauuu	qsa
舍	fjeeii	fjee
码	ttaaee	tta
赫	wzeieu	wz
婆	ymooea	ymo
魂	wleeao	wlee
灾	cpouuo	cpo
洪	woeiie	woeii
腿	vsaeea	vsa
胆	dsiaee	dsi
津	joaeee	joa
俗	bjuouo	bj
辩	neoaoe	neo
胸	hsuauo	hsu
晓	hkeaue	hkea
劲	jwaoei	jwa
仁	sjeeee	sjee
贫	yfuoau	yfuo
偶	pjiaee	pjiae
辑	jkiaee	jkia
邦	nxeeeu	nxe
恢	wweuou	wwe
赖	lfeiae	lfe
圈	qhouee	qhou
摸	tgeiii	tgei
仰	kjuaai	kju
润	sooiae	sooi
堆	dluioe	dlu
碰	ytouei	yto
艇	vrueie	vr
稍	fhioui	fhio
迟	znaeuo	zna
辆	lkeiau	lke
废	mbauao	mba
净	jzuaae	jzu
凶	hhuoai	hhu
署	feeieu	fee
壁	nlaeui	nla
御	ktueei	ktue
奉	mveeuo	mvee
旋	hgueai	hgu
冬	dloooo	dloo
矿	ctoeuu	ct
抬	vgaoia	vga
蛋	ddiaei	ddi
晨	zkeuee	zkeu
伏	mjeuoo	mjeu
吹	ziuauo	ziua
鸡	jdaeee	jdae
倍	njoeou	njoe
糊	wmeiia	wme
秦	qheeeu	qhe
盾	dyuuei	dyu
杯	ndeuio	ndeu
租	chiaee	chia
骑	qpeuoe	qp
乏	muoaoo	muo
隆	lxuaoe	lxu
诊	gfuouu	gfuo
奴	xmaooo	xmao
摄	fgeiie	fge
丧	blouea	blou
污	soeeaa	soe
渡	dooeue	dooe
旗	qgueei	qg
甘	rveeee	rve
耐	xceuia	xce
凭	yhuiue	yh
扎	ggaaaa	ggaa
抢	qguoaa	qgu
绪	hceieu	hceie
粗	pmiaee	pmi
肩	jbiaee	jbi
梁	ldooea	ldoo
幻	waoaaa	wa
菲	mvieee	mvi
皆	jsuiae	jsui
碎	btoeuo	bt
宙	gpiaei	gpi
叔	fdieei	fdi
岩	kqeuia	kqe
荡	dvooea	dvo
综	ccooae	ccoo
爬	yjaiea	yja
荷	wvuiei	wvui
悉	hwuoue	hwuo
蒂	dvoeou	dvoe
返	mnuuao	mn
井	jvuiii	jvu
壮	gseiee	gsei
薄	nvooee	nvo
悄	qwioui	qwi
扫	bgaeee	bga
敏	tyueaa	tyu
碍	ptiaee	pt
殖	gpeiia	gpe
详	hfouee	hfou
迪	dniaei	dnia
矛	tauuuu	tau
霍	wquioe	wqu
允	kluaaa	klu
幅	mzeiae	mze
撒	bgeiie	bge
剩	fmueii	fmu
凯	chiaia	chiai
颗	cziaee	czi
骂	tpiaei	tpi
赏	ffiouo	ffio
液	kooeui	kooe
番	mbuoue	mbuo
箱	hueiuo	hue
贴	vfieia	vfi
漫	toiaee	toi
酸	bwaouo	bw
郎	lxoaee	lxo
腰	kseiai	ksei
舒	fjeeii	fjeei
眉	tyaieu	tya
忧	kweuao	kweu
浮	mouoou	mouo
辛	heiiii	hei
恋	lwoeii	lwo
餐	pbieua	pbi
吓	hieioo	hiei
挺	vgueie	vguei
励	lweuea	lweu
辞	puoeou	puo
艘	bruiea	br
键	jaaeee	jaa
伍	sjeiae	sjei
峰	mquaoe	mq
尺	zqoooo	zq
昨	ckueie	cku
黎	loueiu	loue
辈	nkieee	nki
贯	rniauo	rni
侦	gjieia	gji
滑	woiaao	woia
券	qmouee	qmo
崇	zqooae	zqo
扰	sgeuao	sge
宪	hpueie	hpu
绕	sceaue	sce
趋	quuaae	quua
慈	pwouea	pwo
乔	queuou	queu
阅	ktouia	kto
汗	woeeii	woee
枝	gdeiao	gdeia
拖	vgueai	vguea
墨	tleiee	tlei
胁	hsauoo	hsa
插	zgueiu	zgu
箭	juouei	juou
腊	lseiie	lse
泥	xoaeuu	xo
粉	mmuoau	mmu
氏	fuaeaa	fuae
彭	ygeiei	yge
拔	ngeuao	ngeu
骗	ypoaeu	yp
凤	mhaooo	mha
慧	wweeei	wwee
媒	tmeiie	tmei
佩	yjuaei	yju
愤	mweiei	mwe
扑	ygiooo	ygio
龄	luuooa	luu
驱	qpeuoa	qpe
惜	hweiie	hwei
掩	kgeuoi	kgeu
豪	wfiaeo	wfia
兼	jreaee	jrea
跃	kqueuo	kqu
尸	fquuuu	fqu
肃	bruiuo	bru
帕	yzuiae	yz
驶	fpiaeu	fpia
堡	nluiia	nlu
届	jqiaei	jqi
欣	hluauo	hlu
惠	wweiae	wwei
册	peuaua	peu
储	zjoaei	zjo
飘	yxeiai	yx
桑	bdaoao	bda
闲	hteiuo	hte
惨	pwaoeu	pwa
洁	joeiei	joeie
踪	cqooae	cqo
勃	nweioa	nwe
宾	npuiei	npu
频	yzieie	yzi
仇	zjuaaa	zju
磨	ttoeue	tto
递	dnouae	dno
邪	hxeaiu	hxe
撞	ggoeou	ggo
拟	xgaouo	xg
滚	rooeuo	roo
奏	cveeuo	cvee
巡	hnaaao	hnaa
颜	kzoeou	kzoe
剂	jmoeuo	jmo
绩	jceeie	jcee
贡	riiauo	rii
疯	mbuauo	mbua
坡	ylauia	yla
瞧	qyuioe	qyu
截	jeeieu	jee
燃	syuaoo	syu
焦	jeoooo	jeo
殿	dhaeue	dha
伪	sjouao	sjou
柳	lduaua	ldu
锁	baioui	ba
逼	nneiae	nne
颇	yveuia	yve
昏	wkuaea	wku
劝	qdauuu	qda
呈	zieeie	zie
搜	bguiea	bgu
勤	qweiie	qwe
戒	jieeui	jie
驾	jpauia	jpa
漂	yoeiai	yoe
饮	kbuauo	kbua
曹	pkeiae	pke
朵	dhuooo	dhuo
仔	cjaiee	cja
柔	sdaoai	sda
俩	ljeiau	ljei
孟	thiaii	thi
腐	mbuiei	mbui
幼	kwaaoa	kwaao
践	jqeeau	jqee
籍	jueeei	jue
牧	txueuo	tx
凉	lzoeia	lzo
牲	fxueei	fxu
佳	jjeiee	jjei
娜	xmaeeu	xmae
浓	xooaua	xoo
芳	mvoeau	mvoe
稿	rhoeia	rho
竹	guiiii	gui
腹	msueia	msu
跌	dqueeu	dqu
逻	lniaii	lni
垂	zvueie	zvue
遵	cnouei	cno
脉	tsoaau	tso
貌	tjuiae	tju
柏	nduiae	ndui
狱	kkoaeu	kko
猜	pkeeie	pkee
怜	lwuooa	lwu
惑	wweiae	wweia
陶	vxuaue	vxu
兽	friaei	fri
帐	gzueao	gzu
饰	fbueia	fbu
贷	dfuiea	dfu
昌	zkiaee	zki
叙	hduoee	hduo
躺	vcioui	vci
钢	raiauo	ra
沟	rouaao	rou
寄	jpeuoe	jpeu
扶	mgeeuo	mge
铺	yaeiae	ya
邓	ddaiii	dda
寿	fceeeu	fcee
惧	jwiaee	jwi
询	hfuaia	hfua
汤	voauuu	voa
盗	dsoeua	dso
肥	msaiea	msa
尝	zseeao	zsee
匆	ptuuoo	ptu
辉	wseuao	wse
奈	xieeiu	xie
扣	cgiaee	cgi
廷	vnueie	vnuei
澳	pouiao	pou
嘛	tioeue	tio
董	dvueia	dvu
迁	qnueio	qnu
凝	xzuaui	xz
慰	swaeue	swae
厌	kceuoo	kceu
脏	csoeue	cso
腾	vsouee	vsou
幽	kiaaoa	kia
怨	kwuaoa	kwua
鞋	hkeiee	hkei
丢	dlueie	dlue
埋	tliaee	tli
泉	qkiauo	qkia
涌	koaoia	koa
辖	hkooae	hko
躲	dcuaei	dc
晋	jkeiio	jke
紫	ccieie	cci
艰	jdaeea	jdaee
魏	slueiu	slu
吾	sieiae	siei
慌	wweiio	wweii
祝	ghiaeu	ghi
邮	kxiaei	kxia
吐	vieiee	viei
狠	wkaeea	wkae
鉴	jaiiue	jai
曰	kkiaee	kkia
械	hdeeui	hdee
咬	kioeuo	kio
邻	lxuooa	lxuo
赤	zzoooo	zzo
挤	jgoeuo	jgoe
弯	shoeii	shoe
椅	kdeuoe	kdeu
陪	yxoeou	yxo
割	rmooae	rmo
揭	jgiaee	jgi
韦	sqiiii	sqi
悟	sweiae	swe
聪	pxouia	pxo
雾	squaoa	squa
锋	mauaoe	mau
梯	vdouae	vd
猫	tkeiii	tke
祥	hhouee	hho
阔	ctooeu	cto
誉	kfooue	kfoo
筹	zueeeu	zuee
丛	peuouo	peuo
牵	qioaue	qio
鸣	tiuaoa	tiu
沈	fooaua	fooau
阁	rtuaoi	rtu
穆	thuiae	thu
屈	qqaiia	qqa
旨	gkuaia	gkua
袖	hpiaei	hpi
猎	lkeiie	lkei
臂	nsaeui	nsa
蛇	feooau	feo
贺	wfauia	wfa
柱	gdoeei	gdo
抛	yguaau	ygua
鼠	fraaaa	fra
瑟	breeie	bre
戈	rioooo	rio
牢	lpueei	lpu
逊	hnaiei	hnai
迈	tneauo	tne
欺	qkeeuo	qke
吨	dieaia	diea
琴	qreeie	qree
衰	ffaeeu	ffa
瓶	yrouee	yro
恼	xwoeuo	xwo
燕	kyeiie	kye
仲	gjiaei	gjia
诱	kfueiu	kfue
狼	lkoaee	lko
池	zoaiaa	zoa
疼	vbuaoo	vbua
卢	loaeuu	loa
仗	gjeuoo	gjeu
冠	rpeeua	rpe
粒	lmoeou	lmoe
遥	knuoou	knuo
吕	liiaee	liia
玄	hfaaoo	hfaa
尘	zseiee	zsei
冯	mzaaee	mza
抚	mgeeua	mgee
浅	qoeeau	qoee
敦	dyoeia	dyo
纠	jciiii	jcii
钻	caieia	ca
晶	jkiaee	jkiae
岂	qqaeaa	qqae
峡	hqeoue	hqe
喷	yieiei	yie
苍	pvuoaa	pvuoa
凌	lzeieu	lze
耗	wxueea	wx
敲	qkoeia	qko
菌	jviaue	jvia
赔	yfoeou	yfo
涂	vouoee	vou
粹	pmoeuo	pmo
扁	nbiaei	nbi
亏	cvaaaa	cva
寂	jpieei	jpi
煤	tyeiie	tyei
熊	hyaoia	hya
恭	rweiie	rwei
湿	foiaee	foia
循	htuuei	htuu
暖	xkuoou	xk
糖	vmoeua	vmo
赋	mfeeie	mfe
抑	kguaai	kguaa
秩	ghueeu	ghue
帽	tziaee	tzi
哀	pfiaeu	pfi
宿	bpuieu	bpu
踏	vqiauo	vqi
烂	lyouee	lyo
袁	kliaeu	kli
侯	wjaeue	wja
抖	dgooei	dgo
夹	jeoueu	jeou
昆	ckeaua	ckeau
肝	rseeii	rse
擦	pgooau	pgo
猪	gkeieu	gke
炼	lyeaau	lye
恒	wweiae	wweiae
慎	fweiia	fwe
搬	nguuao	nguu
纽	xcaiee	xca
纹	scoeuo	sco
玻	nrauia	nra
渔	kouaia	kouai
磁	ptouea	pto
铜	vaiaei	vai
齿	zuiiii	zuii
跨	cqeuoe	cqe
押	kgiaee	kgia
怖	nweuia	nweu
漠	toeiii	toei
疲	ybauia	yb
叛	yreeuu	yre
遣	qniaei	qni
兹	creaao	cr
祭	jhuaoo	jhu
醉	cwoeuo	cwo
拳	qgouee	qgo
弥	thuaiu	thua
斜	hjuoee	hjuo
档	ddioua	ddio
稀	hhuoeu	hhuo
捷	jgeaee	jgeae
肤	mseeuo	mse
疫	kbuaao	kbuaa
肿	gsiaei	gsi
豆	daeeee	dae
削	hmioui	hmi
岗	rqiauo	rqi
晃	wkioue	wki
吞	vieeuo	viee
宏	wpeuao	wpeu
癌	pbiaei	pbia
肚	dseiee	dse
隶	lroeuo	lroe
履	lquuiu	lquu
涨	goaeau	goae
耀	ksaoea	ksao
扭	xgaiee	xga
坛	vleeao	vlee
拨	ngauao	ngau
沃	soueuo	sou
绘	wcuoee	wcuo
伐	mjeauo	mjea
堪	cleiie	cle
仆	yjiooo	yji
郭	rxoeia	rxo
牺	hxeiau	hxei
歼	jpueii	jpu
墓	tleiii	tleii
雇	rbuioe	rbu
廉	lbouea	lbo
契	qieeei	qiee
拼	ygouee	ygo
惩	zwuuie	zw
捉	ggiaei	ggia
覆	mwuuiu	mwu
刷	fmaeui	fma
劫	jweiea	jwe
嫌	hmouea	hmo
瓜	rjoooo	rjo
歇	hbiaee	hbi
雕	deuaei	deu
闷	ttoaoo	ttoa
乳	sjaiea	sjai
串	ziiaei	ziia
娃	smeiee	smei
缴	jcuiae	jcui
唤	wiuaia	wiua
赢	kfoeai	kfoe
莲	lveaei	lvea
桃	vduoea	vdu
霸	nqeiie	nq
妥	vjauee	vja
瘦	fbuiea	fbui
搭	dgeiiu	dge
赴	muiooo	mui
岳	kquiei	kqui
嘉	jliaeo	jliae
舱	pruoaa	pru
俊	jjaouo	jjao
址	glieie	glie
庞	ybeuau	ybe
耕	rxeeui	rxee
锐	saouia	sa
缝	mcuaoe	mcua
悔	wwueaa	wwue
邀	knuiae	knuia
玲	lruooa	lru
惟	swuioe	swu
宅	gpueaa	gpu
斥	zloooo	zlo
添	voeeuo	voe
挖	sgooau	sgo
呵	wieiae	wiei
讼	bfuoao	bfu
氧	kcouee	kco
浩	woueie	woue
羽	kzeeee	kzee
斤	jliiii	jlii
酷	cwueie	cwue
掠	lgoeia	lgo
妖	kmueuo	km
祸	whiaei	whia
侍	fjeiee	fjei
乙	kaaaaa	kaaa
妨	mmoeau	mmo
贪	vfuooa	vfu
挣	gguaae	ggua
汪	soeeie	soee
尿	xqiauo	xqi
莉	lvueiu	lvu
悬	hwiaee	hwia
唇	zhiaee	zhia
翰	wliaee	wli
仓	pjaaaa	pja
轨	rkuaaa	rkua
枚	tdueuo	tdue
盐	kseiei	kseie
览	lgiiue	lgi
傅	mjeiae	mjei
帅	fziuia	fzi
庙	tbiaei	tbi
芬	mvuoau	mvu
屏	yqouee	yqo
寺	bleioo	ble
胖	ysouee	yso
璃	lroeuo	lroeu
愚	kwiaee	kwi
滴	dooeou	dooeo
疏	fdoeao	fdo
萧	hvaeei	hva
姿	cmoeua	cmo
颤	zzoeia	zzoe
丑	zaieee	zai
劣	lsuauu	lsuau
柯	cdeiae	cde
寸	pcoooo	pc
扔	sgauuu	sga
盯	dyeiii	dyei
辱	sheioo	shei
匹	yhuaaa	yhu
俱	jjiaee	jji
辨	neouoe	neou
饿	pbueie	pbu
蜂	meuaoe	meu
哦	piueie	piue
腔	qsooau	qso
郁	kxeuia	kxe
溃	coiaei	coi
糟	cmeiae	cmei
谨	jfiiei	jfii
葛	rviaee	rvi
苗	tviaei	tvia
肠	zsauuu	zsa
忌	jroaoo	jro
溜	louaoa	loua
鸿	woeieu	woeie
爵	jjiaii	jjia
鹏	ynuaee	ynu
鹰	kbuiui	kbui
笼	lueuau	lue
丘	quieie	qui
桂	rdeiee	rde
滋	coouea	coo
聊	lxuaua	lxua
挡	dgioua	dgio
纲	rciauo	rci
肌	jsuaaa	jsua
茨	pvoeua	pvo
壳	cloaua	cloa
痕	wbaeea	wba
碗	stooau	stoo
穴	hsoooo	hsoo
膀	nseoeo	nseo
卓	goiaee	goiae
贤	hfiiao	hfii
卧	soeiae	soei
膜	tseiii	tse
毅	khoeou	kho
欠	qboooo	qbo
锦	jauiae	jau
哩	liiaee	liiae
函	whaioe	wha
茫	tvooeo	tvo
昂	pkuaai	pku
薛	hvuiae	hvu
皱	gvuaae	gvu
夸	cieeaa	ciee
豫	kaaoai	kaao
胃	sbiaee	sb
舌	fueeee	fue
剥	nmaeei	nma
傲	pjeeie	pjee
拾	fguoei	fguoe
窝	ssiaei	ssi
睁	gyuaae	gyua
携	hguioe	hgui
陵	lxeieu	lxei
哼	wioeia	wio
棉	tduiae	tdui
晴	qkeeie	qkee
铃	lauooa	lau
填	vleiia	vleii
饲	bbaaei	bba
吻	siuauu	siua
渴	coiaee	coia
扮	nguoau	nguoa
逆	xnouea	xno
脆	psuaeu	psu
喘	ziiaie	ziiai
罩	geieia	gei
卜	nooooo	noo
炉	lyoaeu	lyoa
柴	zdieie	zdi
愉	kwuoei	kwuo
绳	fciaei	fci
胎	vsaoia	vsao
蓄	hvoeaa	hvo
眠	tyaeae	tyae
竭	jniaee	jnia
喂	siiaei	sii
傻	fjuiau	fjui
慕	tweiii	twe
浑	wooaea	woo
奸	jmeeii	jme
扇	fbaoea	fba
柜	rdeaea	rdea
悦	kwouia	kwo
拦	lgouee	lgou
诞	dfuiea	dfui
饱	nbuaae	nbu
乾	qliaee	qli
泡	youaae	you
贼	cfeeua	cfee
亭	vfiaeo	vfia
夕	hhoooo	hhoo
爹	dwuaou	dwu
酬	zwouoi	zwo
儒	sjeoai	sjeo
姻	kmiaeu	kmi
卵	luaoua	lua
氛	mcuoau	mcuo
泄	hoeiie	hoe
杆	rdeeii	rdee
挨	pgaoue	pga
僧	bjouia	bjo
蜜	teooao	teo
吟	kiuooa	kiu
猩	hkiaee	hki
遂	bnoueu	bnou
狭	hkeoue	hkeo
肖	hsiaee	hsia
甜	vueiie	vu
霞	hqaeie	hqae
驳	npuouo	npuo
裕	kpuouo	kpu
顽	szeeua	sz
於	kguooo	kguoo
摘	ggoeou	ggoe
矮	paueiu	pau
秒	thiuou	thiu
卿	qxuaua	qxu
畜	zboeaa	zbo
咽	kiiaeu	kiia
披	ygauia	yga
辅	mkeiae	mke
勾	rtaooo	rta
盆	ysuoau	ysu
疆	jheiee	jhei
赌	dfeieu	dfeie
塑	blouea	bloue
畏	sbeauo	sbe
吵	ziiuou	ziiu
囊	xeoaia	xe
嗯	piiaeu	pii
泊	youiae	youi
肺	mseiai	msei
骤	gpeeii	gpee
缠	zcoeui	zco
冈	rhuooo	rhuo
羞	hsaiee	hsai
瞪	dyaouu	dya
吊	diiaii	dii
漏	loaeue	loae
贾	jwieia	jwie
斑	nroeuo	nroe
涛	voeeeu	voee
悠	kwuiiu	kwui
鹿	lhaaaa	lhaa
俘	mjuoou	mjuo
锡	haiaee	hai
卑	nluiae	nlui
葬	cveuao	cveu
铭	tauaoi	taua
滩	voaoui	voao
嫁	jmooae	jmoo
催	pjiaiu	pjiai
璇	hroeau	hro
翅	zzeiao	zze
盒	wjeiae	wjeia
蛮	teoeii	teoe
矣	klueeu	klue
潘	yououe	youo
歧	qdeiao	qde
赐	pfiaee	pfia
锅	raiaei	rai
鲍	nzuaae	nzua
廊	lboaee	lboa
拆	zguuei	zguu
灌	roeiii	roe
勉	twuaia	twu
盲	tyoeai	tyo
宰	cpoeou	cpoe
佐	cjeuei	cjeu
啥	fiuoee	fiuo
胀	gsueao	gsu
扯	zgieie	zgie
禧	hheiei	hhe
辽	lnaioa	lna
抹	tgeeiu	tgee
筒	vuiaei	vui
棋	qdeiie	qdei
裤	cpoeue	cpoeu
唉	piaoue	pia
朴	ydiooo	yd
咐	miuiei	miu
孕	khauai	kha
誓	ffeieu	ffeie
喉	wiuiae	wiui
妄	smoeaa	smo
拘	jguaia	jgua
链	laeaei	lae
驰	zpaiaa	zpai
栏	ldouee	ldou
逝	fneieu	fnei
窃	qseaau	qse
艳	kveeiu	kve
纤	hcueii	hcu
臭	zoeuoo	zoeu
玑	jruaaa	jru
棵	cdiaee	cdia
趁	zuuouu	zuu
匠	jhuuei	jhuu
盈	ksauao	ksau
翁	szuoao	szu
愁	zwueiu	zwu
瞬	fyuoou	fyuo
婴	kmiauo	kmia
孝	hluaie	hlua
颈	jzaoei	jza
倘	vjioui	vji
浙	goeieu	goe
谅	lfoeia	lfoe
蔽	nvouia	nvou
畅	zkauuu	zka
赠	cfouia	cfo
妮	xmaeuu	xmaeu
莎	fvooei	fvo
尉	scaeue	sca
冻	dzeaiu	dzea
跪	rquaeu	rqu
闯	ztaaee	zta
葡	yvuaei	yvu
後	wtaaou	wta
厨	zceiae	zcei
鸭	kniaee	kniae
颠	dzeiia	dzeii
遮	gnoeue	gno
谊	kfooai	kfooa
圳	gluiii	glu
吁	kieeii	kiee
仑	ljuaaa	ljua
辟	yeaeui	yea
瘤	lbuaoa	lbua
嫂	bmuiea	bmu
陀	vxooau	vxo
框	cdeeei	cdee
谭	vfeiai	vfei
亨	wfiaea	wfiae
钦	qauauo	qau
庸	kbaeei	kba
歉	qbouea	qbou
芝	gvoaoo	gvo
吼	wiaiea	wia
甫	meiaee	mei
衫	fpuuuu	fpuu
宴	kpiaee	kpia
摊	vgaoui	vgao
嘱	giaeuu	gia
衷	gfaeiu	gfa
娇	jmueuo	jmue
陕	fxeoue	fxe
浦	yoeiae	yoei
矩	jaeaea	jae
讶	kfeaiu	kfea
耸	bxuouo	bxu
裸	lpiaee	lpi
碧	nteeie	ntee
摧	pgiaiu	pgia
薪	hvoeou	hvoe
淋	loeiuo	loe
耻	zxieie	zxi
胶	jsoeuo	jso
屠	vqieui	vqie
鹅	pnueie	pn
盼	yyuoau	yyu
饥	jbuaaa	jbua
脖	nseioa	nsei
虹	weeiee	wee
翠	pzoeuo	pzo
崩	nquaee	nqu
账	gfueao	gfue
萍	yvooee	yvo
逢	mnuaoe	mnu
赚	gfouea	gfo
撑	zgiouo	zgio
翔	hsaoea	hsao
倡	zjiaee	zjia
绵	tcuiae	tcu
枯	cdeiia	cdei
猴	wkuiae	wkui
巫	seiuou	sei
昭	gkauia	gka
怔	gweiei	gwe
渊	kououe	kouo
凑	pzeeeu	pze
溪	houoou	houo
蠢	zeeeeu	zee
禅	zhouia	zho
阐	ztouia	zto
旺	skeeie	ske
寓	kpiaee	kpiae
藤	vvuaee	vvu
伞	bjouei	bjou
匪	mhieee	mhi
碑	ntuiae	ntu
挪	xgaeeu	xgae
琼	qroeia	qro
脂	gsuaia	gsua
谎	wfeiio	wfe
慨	cwaeea	cwae
菩	yvoeou	yvoe
萄	vvuaue	vvua
狮	fkiuei	fkiu
掘	jgaeua	jgae
抄	zgiuou	zgiu
岭	lquooa	lquo
晕	kkoaea	kkoa
砍	ctuauo	ctu
逮	dnaeei	dna
掏	vguaue	vguau
狄	dkouuo	dko
晰	hkeiuo	hkeiu
罕	wpuoee	wpu
挽	sguaia	sgu
脾	ysuiae	ysui
舟	groooo	gro
痴	zbueeu	zbu
蔡	pvuaoo	pvua
剪	jmouei	jmou
脊	jsoeuo	jsoe
弓	rhaaaa	rha
懒	lweiae	lwei
叉	zdoooo	zdo
喃	xieiia	xiei
拐	rgiaea	rgi
僚	ljeuoo	ljeu
捐	jgiaei	jgia
姊	cmuaiu	cmu
骚	bpaooi	bpa
拓	vgeuia	vge
歪	sdeuio	sdeu
粘	gmieia	gmi
柄	ndeiau	ndei
坑	cloeua	cloe
陌	txeuia	txe
窄	gsueie	gsue
湘	hoeiuo	hoei
兆	guoeau	guo
崖	kqeuei	kqeu
骄	jpueuo	jpue
刹	fmuoei	fmuo
鞭	nkuiei	nku
芒	tvoeaa	tvoe
筋	juuaee	juu
聘	yxiaei	yxi
棍	rdiaee	rdia
钩	rauaao	rau
嚷	sioeia	sio
腺	hsuiae	hsui
弦	hhoeaa	hhoe
焰	kyuaui	kyu
耍	fmeuia	fme
俯	mjoeuu	mjoe
厘	lciaee	lci
愣	lwiaii	lwi
厦	fceuia	fceu
恳	cwaeea	cwaee
饶	sbeaue	sbea
钉	daeiii	daei
寡	rpeuia	rpeu
憾	wweuei	wweu
摔	fgoeaa	fgo
叠	ddaoao	ddao
惹	sweiie	swei
喻	kiuoei	kiuo
谱	yfouei	yfou
愧	cwuiae	cwui
煌	wyuiae	wyu
徽	wtiaie	wti
溶	soooau	sooo
坠	glaiuo	glai
煞	fyuaae	fyua
巾	jziiii	jzi
滥	loiiue	loii
洒	boeiau	bo
堵	dleieu	dle
瓷	proeua	pro
咒	ghiaei	ghia
姨	kmeaea	kme
棒	ndeeeu	ndee
郡	jxaeeu	jxae
浴	kououo	kouou
媚	tmaieu	tmai
稣	bzueiu	bz
淮	wouioe	woui
哎	pieiiu	pie
屁	yqeaua	yqe
漆	qoeiuo	qoei
淫	kouoou	kouoo
巢	zbiaee	zbi
吩	miuoau	miuo
撰	ggaeaa	ggae
啸	hiaeei	hia
滞	goeiii	goei
玫	trueuo	tru
硕	fteuia	fte
钓	dauaoo	dau
蝶	deeiie	dee
膝	hseiuo	hsei
姚	kmuoea	kmu
茂	tveuau	tveu
躯	qceuoa	qce
吏	leiaeu	leiae
猿	kkeiei	kkei
寨	gdooae	gdoo
恕	fwauei	fwa
渠	qdooee	qdo
戚	qieuie	qieu
辰	zhoooo	zhoo
舶	nruiae	nrui
颁	nzuoau	nzuo
惶	wwuiae	wwui
狐	wkuuao	wkuu
讽	mfuauo	mfu
笨	nueiuo	nue
袍	ypuaae	ypu
嘲	zieiia	ziei
啡	miieee	miie
泼	yoauao	yoa
衔	htueee	htue
倦	jjouee	jjou
涵	woaioe	woai
雀	qsuioe	qsu
旬	htiaee	hti
僵	jjeiae	jjeia
撕	bgeiie	bgei
肢	gseiao	gseia
垄	lfeiee	lfei
夷	keauoo	keau
逸	knuaia	knua
茅	tvaoai	tva
侨	qjueuo	qju
舆	kruiee	kru
窑	ksueei	ksu
涅	xoiaee	xoi
蒲	yvooee	yvoo
谦	qfouea	qfo
杭	wdoeua	wdoe
噢	piuiao	piui
弊	nvouia	nvoui
勋	hwiaei	hwiae
刮	ruiiae	rui
郊	jxoeuo	jxo
凄	qzeaee	qz
捧	ygeeeu	ygee
浸	joaeeo	joae
砖	gteeao	gte
鼎	dyaeui	dyae
篮	luiiue	lui
蒸	gvaiau	gva
亩	tfiaei	tfi
饼	nbouee	nbo
肾	fsiiao	fsii
陡	dxeiei	dxe
爪	gjoooo	gjo
兔	vmiaeu	vmi
殷	khuuae	khuu
